chain_type,chain_id,name,display_name,address,decimals
evm,1,USDC,USD Coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
evm,1,USDT,Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
evm,1,WETH,Wrapped Ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
evm,1,WBTC,Wrapped BTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8
evm,10,USDC,USD Coin,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
evm,10,USDT,Tether,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,6
evm,10,WBTC,Wrapped Bitcoin,0x68f180fcce6836688e9084f035309e29bf0a2095,8
evm,10,WETH,Wrapped Ether,0x4200000000000000000000000000000000000006,18
evm,8453,USDC,USDC,0x833589fCD6EDb6E08f4c7C32D4f71b54bdA02913,6
evm,8453,WETH,Wrapped Ether,0x4200000000000000000000000000000000000006,18
evm,42161,USDC,USDC,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,6
evm,42161,USDT,Tether,0xfd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,6
evm,42161,WBTC,Wrapped Bitcoin,0x2f2a2543B76A4166549F7AaB2e75Bef0aefC5B0f,8
evm,42161,WETH,Wrapped Ether,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18
